Length,Clients,Pause,Queries,Time
500,10,50,10,9.293478260869565
1000,10,50,10,5.228260869565218
1500,10,50,10,11.164835164835164
2000,10,50,10,20.42391304347826
2500,10,50,10,27.467391304347824
3000,10,50,10,33.522222222222226
3500,10,50,10,48.84615384615385
4000,10,50,10,73.86666666666666
4500,10,50,10,102.04494382022472
5000,10,50,10,143.183908045977
5500,10,50,10,185.7816091954023
6000,10,50,10,236.34831460674158
6500,10,50,10,296.1123595505618
7000,10,50,10,368.91011235955057
7500,10,50,10,542.1444444444444
8000,10,50,10,698.6741573033707
8500,10,50,10,803.9
9000,10,50,10,800.3977272727273
9500,10,50,10,838.2444444444444
10000,10,50,10,931.2758620689655
