Length,Clients,Pause,Queries,Time
3000,10,1,30,1364.0752688172042
3000,10,6,30,1262.1503496503497
3000,10,11,30,1012.3028169014085
3000,10,16,30,957.8892733564014
3000,10,21,30,1008.5070921985815
3000,10,26,30,922.1316725978647
3000,10,31,30,899.4148936170212
3000,10,36,30,721.8642857142858
3000,10,41,30,658.5
3000,10,46,30,643.1067615658363
3000,10,51,30,536.7420494699646
3000,10,56,30,473.00357142857143
3000,10,61,30,410.9965034965035
3000,10,66,30,342.2097902097902
3000,10,71,30,271.5609756097561
3000,10,76,30,197.31448763250884
3000,10,81,30,137.77777777777777
3000,10,86,30,117.68275862068965
3000,10,91,30,135.446735395189
3000,10,96,30,72.11683848797252
3000,10,101,30,62.054982817869416
3000,10,106,30,62.48287671232877
