Length,Clients,Pause,Queries,Time
3000,10,1,30,1108.7399103139014
3000,10,6,30,1483.2181818181818
3000,10,11,30,1171.7632508833922
3000,10,16,30,1094.496551724138
3000,10,21,30,966.6909722222222
3000,10,26,30,952.7689655172413
3000,10,31,30,937.2624113475177
3000,10,36,30,903.8797250859106
3000,10,41,30,813.7182130584192
3000,10,46,30,779.3951890034364
3000,10,51,30,948.4131944444445
3000,10,56,30,711.5017182130584
3000,10,61,30,626.9760273972603
3000,10,66,30,580.5292096219931
3000,10,71,30,512.1649484536083
3000,10,76,30,537.0893470790378
3000,10,81,30,450.35191637630663
3000,10,86,30,529.2867132867133
3000,10,91,30,371.1522491349481
3000,10,96,30,125.5807560137457
3000,10,101,30,110.1786941580756
3000,10,106,30,88.10309278350516
