Length,Clients,Pause,Queries,Time
3000,10,1,30,1457.0787671232877
3000,10,6,30,1081.5091575091576
3000,10,11,30,1118.9685314685314
3000,10,16,30,1091.0
3000,10,21,30,819.8103448275862
3000,10,26,30,667.9551724137931
3000,10,31,30,590.8762886597938
3000,10,36,30,510.72945205479454
3000,10,41,30,429.0445205479452
3000,10,46,30,373.44329896907215
3000,10,51,30,317.1546391752577
3000,10,56,30,369.807560137457
3000,10,61,30,284.3917525773196
3000,10,66,30,145.30344827586208
3000,10,71,30,113.85223367697594
3000,10,76,30,101.30479452054794
3000,10,81,30,67.6426116838488
3000,10,86,30,55.72508591065292
3000,10,91,30,65.21649484536083
3000,10,96,30,53.6643598615917
3000,10,101,30,63.88316151202749
3000,10,106,30,65.56357388316151
