Length,Clients,Pause,Queries,Time
3000,10,1,30,88.51612903225806
3000,10,6,30,83.70979020979021
3000,10,11,30,77.65845070422536
3000,10,16,30,78.86505190311419
3000,10,21,30,88.67375886524823
3000,10,26,30,86.11743772241992
3000,10,31,30,91.80141843971631
3000,10,36,30,83.89642857142857
3000,10,41,30,82.21379310344828
3000,10,46,30,85.87142857142857
3000,10,51,30,83.47703180212014
3000,10,56,30,84.58928571428571
3000,10,61,30,84.14335664335664
3000,10,66,30,83.24475524475524
3000,10,71,30,83.80836236933798
3000,10,76,30,82.52296819787986
3000,10,81,30,81.33680555555556
3000,10,86,30,82.82698961937716
3000,10,91,30,90.52758620689656
3000,10,96,30,66.86941580756013
3000,10,101,30,60.786206896551725
3000,10,106,30,60.86254295532646
