Length,Clients,Pause,Queries,Time
3000,10,1,30,54.473214285714285
3000,10,6,30,59.85818181818182
3000,10,11,30,55.014134275618375
3000,10,16,30,53.49655172413793
3000,10,21,30,52.865051903114185
3000,10,26,30,54.27147766323024
3000,10,31,30,57.156028368794324
3000,10,36,30,57.6426116838488
3000,10,41,30,56.58419243986254
3000,10,46,30,59.41580756013746
3000,10,51,30,70.73611111111111
3000,10,56,30,61.93814432989691
3000,10,61,30,60.87328767123287
3000,10,66,30,61.87972508591065
3000,10,71,30,62.12714776632303
3000,10,76,30,67.68041237113403
3000,10,81,30,67.26132404181185
3000,10,86,30,71.64459930313589
3000,10,91,30,68.58477508650519
3000,10,96,30,60.19931271477663
3000,10,101,30,58.945017182130584
3000,10,106,30,60.01030927835052
