Length,Clients,Pause,Queries,Time
3000,10,1,30,59.19178082191781
3000,10,6,30,53.663003663003664
3000,10,11,30,62.50699300699301
3000,10,16,30,71.5625
3000,10,21,30,57.25773195876289
3000,10,26,30,54.148275862068964
3000,10,31,30,54.47766323024055
3000,10,36,30,54.71917808219178
3000,10,41,30,55.22866894197952
3000,10,46,30,56.77319587628866
3000,10,51,30,57.44329896907217
3000,10,56,30,67.39862542955326
3000,10,61,30,65.73539518900344
3000,10,66,30,56.58275862068965
3000,10,71,30,56.136986301369866
3000,10,76,30,58.68835616438356
3000,10,81,30,56.61168384879725
3000,10,86,30,57.36426116838488
3000,10,91,30,61.828178694158076
3000,10,96,30,57.266435986159166
3000,10,101,30,50.508591065292094
3000,10,106,30,52.58419243986254
